date,open,high,low,close,volume,amount,stock_code,stock_name,market
2023-01-03,1594.68,1601.34,1571.48,1593.59,2603380,,sh.600519,A股贵州茅台,CN
2023-01-04,1593.58,1601.59,1580.68,1588.98,2041575,,sh.600519,A股贵州茅台,CN
2023-01-05,1600.03,1658.98,1596.34,1658.98,4794285,,sh.600519,A股贵州茅台,CN
2023-01-06,1663.7,1669.02,1646.08,1661.53,2490375,,sh.600519,A股贵州茅台,CN
2023-01-09,1690.3,1704.1,1665.26,1696.01,3097723,,sh.600519,A股贵州茅台,CN
2023-01-10,1694.04,1717.47,1686.15,1708.22,2273173,,sh.600519,A股贵州茅台,CN
2023-01-11,1709.64,1713.33,1691.99,1699.46,2272031,,sh.600519,A股贵州茅台,CN
2023-01-12,1702.27,1709.64,1688.46,1689.38,1719317,,sh.600519,A股贵州茅台,CN
2023-01-13,1698.76,1739.12,1694.9,1738.2,3193965,,sh.600519,A股贵州茅台,CN
2023-01-16,1737.28,1782.41,1732.67,1762.06,3684826,,sh.600519,A股贵州茅台,CN
2023-01-17,1762.3,1771.36,1745.57,1757.54,2129923,,sh.600519,A股贵州茅台,CN
2023-01-18,1763.07,1773.48,1740.96,1743.73,2106293,,sh.600519,A股贵州茅台,CN
2023-01-19,1743.27,1743.28,1718.85,1731.94,2343889,,sh.600519,A股贵州茅台,CN
2023-01-20,1740.22,1748.56,1711.49,1713.34,2560875,,sh.600519,A股贵州茅台,CN
2023-01-30,1758.46,1758.46,1731.75,1739.12,3592255,,sh.600519,A股贵州茅台,CN
2023-01-31,1746.95,1750.13,1688.52,1700.21,3299068,,sh.600519,A股贵州茅台,CN
2023-02-01,1708.7,1712.41,1668.56,1699.48,3397389,,sh.600519,A股贵州茅台,CN
2023-02-02,1702.62,1712.41,1682.01,1691.32,2975886,,sh.600519,A股贵州茅台,CN
2023-02-03,1676.48,1682.01,1654.08,1674.64,3494490,,sh.600519,A股贵州茅台,CN
2023-02-06,1639.64,1653.45,1621.21,1653.45,4266095,,sh.600519,A股贵州茅台,CN
2023-02-07,1665.5,1666.17,1646.76,1655.3,2432171,,sh.600519,A股贵州茅台,CN
2023-02-08,1658.07,1663.56,1635.03,1643.32,1667577,,sh.600519,A股贵州茅台,CN
2023-02-09,1637.79,1685.46,1635.04,1674.64,2975366,,sh.600519,A股贵州茅台,CN
2023-02-10,1667.36,1675.09,1659.03,1667.27,1798451,,sh.600519,A股贵州茅台,CN
2023-02-13,1667.27,1726.68,1667.27,1709.97,3814670,,sh.600519,A股贵州茅台,CN
2023-02-14,1710.07,1710.93,1690.3,1698.4,1956576,,sh.600519,A股贵州茅台,CN
2023-02-15,1698.39,1709.0,1691.05,1695.83,1817691,,sh.600519,A股贵州茅台,CN
2023-02-16,1696.14,1738.2,1683.85,1715.0,3324595,,sh.600519,A股贵州茅台,CN
2023-02-17,1704.26,1725.3,1676.53,1677.2,2644283,,sh.600519,A股贵州茅台,CN
2023-02-20,1677.4,1730.65,1673.9,1727.14,2966869,,sh.600519,A股贵州茅台,CN
2023-02-21,1726.22,1726.22,1705.04,1719.78,1875052,,sh.600519,A股贵州茅台,CN
2023-02-22,1708.73,1716.92,1687.35,1691.22,2186916,,sh.600519,A股贵州茅台,CN
2023-02-23,1694.9,1703.01,1662.9,1674.64,2188097,,sh.600519,A股贵州茅台,CN
2023-02-24,1667.37,1667.45,1641.64,1647.01,2463461,,sh.600519,A股贵州茅台,CN
2023-02-27,1638.25,1671.88,1635.05,1667.65,2206489,,sh.600519,A股贵州茅台,CN
2023-02-28,1675.56,1678.33,1642.68,1670.72,2395181,,sh.600519,A股贵州茅台,CN
2023-03-01,1670.03,1702.27,1661.03,1693.55,2445810,,sh.600519,A股贵州茅台,CN
2023-03-02,1684.77,1693.97,1677.5,1683.85,1314419,,sh.600519,A股贵州茅台,CN
2023-03-03,1694.69,1696.39,1660.34,1674.68,1619806,,sh.600519,A股贵州茅台,CN
