date,open,high,low,close,volume,amount,stock_code,stock_name,market
2018-01-02,359.98,369.2,359.61,369.02,26121781,10011333759.0,HK.00700,腾讯控股,HK
2018-01-03,374.73,377.31,370.12,373.07,24711200,9638247139.0,HK.00700,腾讯控股,HK
2018-01-04,377.5,382.48,374.92,381.92,30269972,11967516198.0,HK.00700,腾讯控股,HK
2018-01-05,386.16,386.16,378.6,383.21,21650301,8614181553.0,HK.00700,腾讯控股,HK
2018-01-08,385.98,388.74,383.77,388.19,19520226,7856873444.0,HK.00700,腾讯控股,HK
2018-01-09,390.4,395.38,388.56,392.99,26551362,10848563239.0,HK.00700,腾讯控股,HK
2018-01-10,394.83,395.2,389.48,389.85,19533815,7968681786.0,HK.00700,腾讯控股,HK
2018-01-11,385.8,387.64,379.71,379.71,29978440,11945763875.0,HK.00700,腾讯控股,HK
2018-01-12,381.92,391.51,381.0,391.51,20826422,8381049436.0,HK.00700,腾讯控股,HK
2018-01-15,394.46,397.59,383.21,383.21,25377749,10320307835.0,HK.00700,腾讯控股,HK
2018-01-16,385.8,393.91,384.87,393.35,22337732,9098469929.0,HK.00700,腾讯控股,HK
2018-01-17,392.25,397.78,388.74,397.78,26988581,11066596007.0,HK.00700,腾讯控股,HK
2018-01-18,401.1,402.39,393.91,396.67,23643602,9800450375.0,HK.00700,腾讯控股,HK
2018-01-19,400.73,401.47,396.86,400.91,15999436,6648682786.0,HK.00700,腾讯控股,HK
2018-01-22,403.31,407.92,399.07,407.92,21006446,8841470377.0,HK.00700,腾讯控股,HK
2018-01-23,413.64,421.38,411.24,421.38,25895563,11195015718.0,HK.00700,腾讯控股,HK
2018-01-24,420.83,421.19,414.19,416.22,27042230,11729418911.0,HK.00700,腾讯控股,HK
2018-01-25,413.64,415.48,406.08,406.08,30083273,12821918456.0,HK.00700,腾讯控股,HK
2018-01-26,411.79,418.24,411.61,418.24,23878508,10310863512.0,HK.00700,腾讯控股,HK
2018-01-29,420.64,423.22,413.82,418.61,24412262,10608507841.0,HK.00700,腾讯控股,HK
2018-01-30,410.87,416.77,409.03,409.58,24142267,10333929084.0,HK.00700,腾讯控股,HK
2018-01-31,403.86,415.66,403.49,411.24,29949637,12754796624.0,HK.00700,腾讯控股,HK
2018-02-01,413.45,414.19,407.92,407.92,18570561,7917368529.0,HK.00700,腾讯控股,HK
2018-02-02,407.0,407.92,399.62,400.91,26391104,11080880901.0,HK.00700,腾讯控股,HK
2018-02-05,383.77,394.83,382.85,390.4,43815953,17778459852.0,HK.00700,腾讯控股,HK
2018-02-06,373.81,376.02,359.25,361.83,94211859,36273328528.0,HK.00700,腾讯控股,HK
2018-02-07,380.26,382.85,364.78,366.25,66227013,25868888268.0,HK.00700,腾讯控股,HK
2018-02-08,369.94,374.73,365.51,371.23,38441956,14875058866.0,HK.00700,腾讯控股,HK
2018-02-09,355.37,362.75,350.76,359.43,75019097,27953813778.0,HK.00700,腾讯控股,HK
